"AF","TI","SO","AB","PY","Index"
"Zang, Ping; Zhou, Xiang","Causal Association Between Birth Weight and Adult Diseases: Evidence From a Mendelian Randomization Analysis","FRONTIERS IN GENETICS","Purpose: Birth weight has a profound long-term impact on individual's predisposition to various diseases at adulthood-a hypothesis commonly referred to as the fetal origins of adult diseases. However, it is not fully clear to what extent the fetal origins of adult diseases hypothesis holds and it is also not completely known what types of adult diseases are causally affected by birth weight. Materials and methods: Mendelian randomization using multiple genetic instruments associated with birth weight was performed to explore the causal relationship between birth weight and adult diseases. The causal relationship between birth weight and 21 adult diseases as well as 38 other complex traits was examined based on data collected from 37 large-scale genome-wide association studies with up to 340,000 individuals of European ancestry. Causal effects of birth weight were estimated using inverse-variance weighted methods. The identified causal relationships between birth weight and adult diseases were further validated through extensive sensitivity analyses, bias calculation, and simulations. Results: Among the 21 adult diseases, three were identified to be inversely causally affected by birth weight after the Bonferroni correction. The measurement unit of birth weight was defined as its standard deviation (i.e., 488 g), and one unit lower birth weight was causally related to an increased risk of coronary artery disease (CAD), myocardial infarction (MI), type 2 diabetes (T2D), and BMI-adjusted T2D, with the estimated odds ratios of 1.34[ 95% confidence interval (CI) 1.17-1.53], 1.30 (95% CI 1.13-1.51), 1.41 (95% CI 1.15-1.73), and 1.54 (95% CI 1.25-1.89), respectively. All these identified causal associations were robust across various sensitivity analyses that guard against various confounding due to pleiotropy or maternal effects as well as reverse causation. In addition, analysis on 38 additional complex traits did not identify candidate traits that may mediate the causal association between birth weight and CAD/MI/T2D. Conclusions: The results suggest that lower birth weight is causally associated with an increased risk of CAD, MI, and T2D in later life, supporting the fetal origins of adult diseases hypothesis.",2019,6
"Wang, Qi; Wang, Yunzhang; Lehto, Kelli; Pedersen, Nancy L.; Williams, Dylan M.; Hagg, Sara","Genetically-predicted life-long lowering of low-density lipoprotein cholesterol is associated with decreased frailty: A Mendelian randomization study in UK biobank","EBIOMEDICINE","Background: High circulating low-density lipoprotein cholesterol (LDL-C) is a major risk factor for atherosclerosis and age-associated cardiovascular events. Long-term dyslipidaemia could contribute to the development of frailty in older individuals through its role in determining cardiovascular health and potentially other physiological pathways. Methods: We conducted Mendelian randomization (MR) analyses using genetic variants to estimate the effects of long-term LDL-C modification on frailty in UK Biobank (n = 378,161). Frailty was derived from health questionnaire and interview responses at baseline when participants were aged 40 to 69 years, and calculated using an accumulation-of-deficits approach, i.e. the frailty index (FI). Several aggregated instrumental variables (IVs) using 50 and 274 genetic variants were constructed from independent single-nucleotide polymorphisms (SNPs) to instrument circulating LDL-C concentrations. Specific sets of variants in or near genes that encode six lipid-lowering drug targets (HMGCR, PCSK9, NPC1L1, APOB, APOC3, and LDLR) were used to index effects of exposure to related drug classes on frailty. SNP-LDL-C effects were available from previously published studies. SNP-FI effects were obtained using adjusted linear regression models. Two-sample MR analyses were performed with the IVs as instruments using inverse-variance weighted, MR-Egger, weighted median, and weighted mode methods. To address the stability of the findings, MR analyses were also performed using i) a modified FI excluding the cardiometabolic deficit items and ii) data from comparatively older individuals (aged = 60 years) only. Several sensitivity analyses were also conducted. Findings: On average 0.14% to 0.23% and 0.16% to 0.31% decrements in frailty were observed per standard deviation reduction in LDL-C exposure, instrumented by the general IVs consisting of 50 and 274 variants, respectively. Consistent, though less precise, associations were observed in the HMGCR-, APOC3-, NPC1L1-, and LDLR-specific IV analyses. In contrast, results for PCSK9 were in the same direction but more modest, and null for APOB. All sensitivity analyses produced similar findings. Interpretation: A genetically-predicted life-long lowering of LDL-C is associated with decreased frailty in midlife and older age, representing supportive evidence for LDL-C's role in multiple health- and age-related pathways. The use of lipid-lowering therapeutics with varying mechanisms of action may differ by the extent to which they provide overall health benefits. (C) 2019 Published by Elsevier B.V.",2019,6
"Li, Mengyu; Kwok, Man Ki; Fong, Shirley Siu Ming; Schooling, Catherine Mary","Indoleamine 2,3-dioxygenase and ischemic heart disease: a Mendelian Randomization study","SCIENTIFIC REPORTS","Tryptophan is an essential amino acid. Indoleamine 2,3-dioxygenase (IDO), the rate-limiting enzyme in the tryptophan-kynurenine pathway, is positively associated with cardiac events, and may be relevant to cancer. We used Mendelian Randomization to obtain unconfounded estimates of the association of IDO1 with ischemic heart disease (IHD), ischemic stroke and their risk factors, all-cancer, cancer of the prostate, lung and bronchus, and breast. We obtained genetic instruments independently and strongly (p-value < 5 x 10(-)(8)) predicting plasma IDO1 from a proteome genome-wide association study (GWAS), and applied them to consortia GWAS of the outcomes, including the UK Biobank SOFT CAD GWAS (cases < = 76 014, non-cases < = 264 785) for IHD. Estimates were obtained using inverse variance weighting; with MR-Egger, weighted median and MR-PRESSO as sensitivity analyses. IDO1 was inversely associated with IHD (odds ratio (OR) 0.96 per standard deviation, 95% confidence interval (CI) 0.93 to 1.00, p-value = 0.04), diabetes (OR 0.91,95% CI 0.85 to 0.97) and prostate cancer (OR 0.96, 95% CI 0.93 to 0.99) with a directionally consistent estimate for stroke (OR 0.98, 95% CI 0.95 to 1.02) but not with blood pressure, or the other cancers considered. IDO1 might be a potential therapeutic target for IHD, diabetes and prostate cancer.",2019,6
"So, Hon-Cheong; Chau, Kwan-Long; Ao, Fu-Kiu; Mo, Cheuk-Hei; Sham, Pak-Chung","Exploring shared genetic bases and causal relationships of schizophrenia and bipolar disorder with 28 cardiovascular and metabolic traits","PSYCHOLOGICAL MEDICINE","Background. Cardiovascular diseases represent a major health issue in patients with schizophrenia (SCZ) and bipolar disorder (BD), but the exact nature of cardiometabolic (CM) abnormalities involved and the underlying mechanisms remain unclear. Psychiatric medications are known risk factors, but it is unclear whether there is a connection between the disorders (SCZ/BD) themselves and CM abnormalities. Methods. Using polygenic risk scores and linkage disequilibrium score regression, we investigated the shared genetic bases of SCZ and BD with 28 CM traits. We performed Mendelian randomization (MR) to elucidate causal relationships between the two groups of disorders. The analysis was based on large-scale meta-analyses of genome-wide association studies. We also identified the potential shared genetic variants and inferred the pathways involved. Results. We found tentative polygenic associations of SCZ with glucose metabolism abnormalities, adverse adipokine profiles, increased waist-to-hip ratio and visceral adiposity (false discovery rate or FDR<0.05). However, there was an inverse association with body mass index. For BD, we observed several polygenic associations with favorable CM profiles at FDR<0.05. MR analysis showed that SCZ may be causally linked to raised triglyceride and that lower fasting glucose may be linked to BD. We also identified numerous single nucleotide polymorphisms and pathways shared between SCZ/BD with CM traits, some of which are related to inflammation or the immune system. Conclusions. Our findings suggest that SCZ patients may be genetically predisposed to several CM abnormalities independent of medication side effects. On the other hand, CM abnormalities in BD may be more likely to be secondary. However, the findings require further validation.",2019,6
"Lamina, Claudia; Kronenberg, Florian; Mack, Salome; Coassin, Stefan; Rueedi, Rico; Yousri, Noha A.; Seppala, Ilkka; Gieger, Christian; Schonherr, Sebastian; Forer, Lukas; Erhart, Gertraud; Marques-Vidal, Pedro; Ried, Janina S.; Waeber, Gerard; Bergmann, Sven; Daehnhardt, Doreen; Stoeckl, Andrea; Raitakari, Olli T.; Kahonen, Mika; Peters, Annette; Meitinger, Thomas; Strauch, Konstantin; Kedenko, Ludmilla; Paulweber, Bernhard; Lehtimaki, Terho; Hunt, Steven C.; Vollenweider, Peter; Lamina, Claudia; Kronenberg, Florian","Estimation of the Required Lipoprotein(a)-Lowering Therapeutic Effect Size for Reduction in Coronary Heart Disease Outcomes A Mendelian Randomization Analysis","JAMA CARDIOLOGY","IMPORTANCE Genetic and epidemiologic data suggest that lipoprotein(a) (Lp[a]) is one of the strongest genetically determined risk factors for coronary heart disease (CHD). Specific therapies to lower Lp(a) are on the horizon, but the required reduction of Lp(a) to translate into clinically relevant lowering of CHD outcomes is a matter of debate. OBJECTIVE To estimate the required Lp(a)-lowering effect size that may be associated with a reduction of CHD outcomes compared with the effect size of low-density lipoprotein cholesterol (LDL-C)-lowering therapies. DESIGN, SETTING, AND PARTICIPANTS Genetic epidemiologic study using a mendelian randomization analysis to estimate the required Lp(a)-lowering effect size for a clinically meaningful effect on outcomes. We used the effect estimates for Lp(a) from a genome-wide association study (GWAS) and meta-analysis on Lp(a) published in 2017 of 5 different primarily population-based studies of European ancestry. All Lp(a) measurements were performed in 1 laboratory. Genetic estimates for 27 single-nucleotide polymorphisms on Lp(a) concentrations were used. Odds ratios for these 27 single-nucleotide polymorphisms associated with CHD risk were retrieved from a subsample of the CHD Exome+ consortium. EXPOSURES Genetic LPA score, plasma Lp(a) concentrations, and observations of statin therapies on CHD outcomes. MAIN OUTCOMES AND MEASURES Coronary heart disease. RESULTS The study included 13 781 individuals from the Lp(a)-GWAS-Consortium from 5 primarily population-based studies and 20 793 CHD cases and 27 540 controls from a subsample of the CHD Exome+ consortium. Four of the studies were similar in age distribution (means between 51 and 59 years), and 1 cohort was younger; mean age, 32 years. The frequency of women was similar between 51% and 55%. We estimated that the required reduction in Lp(a) effect size would be 65.7mg/dL (95% CI, 46.3-88.3) to reach the same potential effect on clinical outcomes that can be reached by lowering LDL-C by 38.67mg/dL (to convert to millimoles per liter, multiply by 0.0259). CONCLUSIONS AND RELEVANCE This mendelian randomization analysis estimated a required Lp(a)-lowering effect size of 65.7mg/dL to reach the same effect as a 38.67-mg/dL lowering of LDL-C. However, this estimate is determined by the observed effect estimates of single-nucleotide polymorphisms on Lp(a) concentrations and is therefore influenced by the standardization of the Lp(a) assay used. As a consequence, calculations of the required Lp(a)-lowering potential of a drug to be clinically effective might have been overestimated in the past.",2019,6
"Carter, Alice R.; Gill, Dipender; Davies, Neil M.; Taylor, Amy E.; Tillmann, Taavi; Vaucher, Julien; Wootton, Robyn E.; Munafo, Marcus R.; Hemani, Gibran; Malik, Rainer; Seshadri, Sudha; Woo, Daniel; Burgess, Stephen; Smith, George Davey; Holmes, Michael V.; Tzoulaki, Ioanna; Howe, Laura D.; Dehghan, Abbas","Understanding the consequences of education inequality on cardiovascular disease: mendelian randomisation study","BMJ-BRITISH MEDICAL JOURNAL","OBJECTIVES To investigate the role of body mass index (BMI), systolic blood pressure, and smoking behaviour in explaining the effect of education on the risk of cardiovascular disease outcomes. DESIGN Mendelian randomisation study. SETTING UK Biobank and international genome-wide association study data. PARTICIPANTS Predominantly participants of European ancestry. EXPOSURE Educational attainment, BMI, systolic blood pressure, and smoking behaviour in observational analysis, and randomly allocated genetic variants to instrument these traits in mendelian randomisation. MAIN OUTCOMES MEASURE The risk of coronary heart disease, stroke, myocardial infarction, and cardiovascular disease (all subtypes; all measured in odds ratio), and the degree to which this is mediated through BMI, systolic blood pressure, and smoking behaviour respectively. RESULTS Each additional standard deviation of education (3.6 years) was associated with a 13% lower risk of coronary heart disease (odds ratio 0.86, 95% confidence interval 0.84 to 0.89) in observational analysis and a 37% lower risk (0.63, 0.60 to 0.67) in mendelian randomisation analysis. As a proportion of the total risk reduction, BMI was estimated to mediate 15% (95% confidence interval 13% to 17%) and 18% (14% to 23%) in the observational and mendelian randomisation estimates, respectively. Corresponding estimates were 11% (9% to 13%) and 21% (15% to 27%) for systolic blood pressure and 19% (15% to 22%) and 34% (17% to 50%) for smoking behaviour. All three risk factors combined were estimated to mediate 42% (36% to 48%) and 36% (5% to 68%) of the effect of education on coronary heart disease in observational and mendelian randomisation analyses, respectively. Similar results were obtained when investigating the risk of stroke, myocardial infarction, and cardiovascular disease. CONCLUSIONS BMI, systolic blood pressure, and smoking behaviour mediate a substantial proportion of the protective effect of education on the risk of cardiovascular outcomes and intervening on these would lead to reductions in cases of cardiovascular disease attributable to lower levels of education. However, more than half of the protective effect of education remains unexplained and requires further investigation.",2019,6
"Ward-Caviness, Cavin K.; de Vries, Paul S.; Wiggins, Kerri L.; Huffman, Jennifer E.; Yanek, Lisa R.; Bielak, Lawrence F.; Giulianini, Franco; Guo, Xiuqing; Kleber, Marcus E.; Kacprowski, Tim; Gross, Stefan; Petersman, Astrid; Smith, George Davey; Hartwig, Fernando P.; Bowden, Jack; Hemani, Gibran; Mueller-Nuraysid, Martina; Strauch, Konstantin; Koenig, Wolfgang; Waldenberger, Melanie; Meitinger, Thomas; Pankratz, Nathan; Boerwinkle, Eric; Tang, Weihong; Fu, Yi-Ping; Johnson, Andrew D.; Song, Ci; de Maat, Moniek P. M.; Uitterlinden, Andre G.; Franco, Oscar H.; Brody, Jennifer A.; McKnight, Barbara; Chen, Yii-Der Ida; Psaty, Bruce M.; Mathias, Rasika A.; Becker, Diane M.; Peyser, Patricia A.; Smith, Jennifer A.; Bielinski, Suzette J.; Ridker, Paul M.; Taylor, Kent D.; Yao, Jie; Tracy, Russell; Delgado, Graciela; Trompet, Stella; Sattar, Naveed; Jukema, J. Wouter; Becker, Lewis C.; Kardia, Sharon L. R.; Rotter, Jerome, I; Maerz, Winfried; Doerr, Marcus; Chasman, Daniel, I; Dehghan, Abbas; O'Donnell, Christopher J.; Smith, Nicholas L.; Peters, Annette; Morrison, Alanna C.","Mendelian randomization evaluation of causal effects of fibrinogen on incident coronary heart disease","PLOS ONE","Background Fibrinogen is an essential hemostatic factor and cardiovascular disease risk factor. Early attempts at evaluating the causal effect of fibrinogen on coronary heart disease (CHD) and myocardial infraction (MI) using Mendelian randomization (MR) used single variant approaches, and did not take advantage of recent genome-wide association studies (GWAS) or multi-variant, pleiotropy robust MR methodologies. Methods and findings We evaluated evidence for a causal effect of fibrinogen on both CHD and MI using MR. We used both an allele score approach and pleiotropy robust MR models. The allele score was composed of 38 fibrinogen-associated variants from recent GWAS. Initial analyses using the allele score used a meta-analysis of 11 European-ancestry prospective cohorts, free of CHD and MI at baseline, to examine incidence CHD and MI. We also applied 2 sample MR methods with data from a prevalent CHD and MI GWAS. Results are given in terms of the hazard ratio (HR) or odds ratio (OR), depending on the study design, and associated 95% confidence interval (CI). In single variant analyses no causal effect of fibrinogen on CHD or MI was observed. In multi-variant analyses using incidence CHD cases and the allele score approach, the estimated causal effect (HR) of a 1 g/L higher fibrinogen concentration was 1.62 (CI = 1.12, 2.36) when using incident cases and the allele score approach. In 2 sample MR analyses that accounted for pleiotropy, the causal estimate (OR) was reduced to 1.18 (CI = 0.98, 1.42) and 1.09 (CI = 0.89, 1.33) in the 2 most precise (smallest CI) models, out of 4 models evaluated. In the 2 sample MR analyses for MI, there was only very weak evidence of a causal effect in only 1 out of 4 models. Conclusions A small causal effect of fibrinogen on CHD is observed using multi-variant MR approaches which account for pleiotropy, but not single variant MR approaches. Taken together, results indicate that even with large sample sizes and multi-variant approaches MR analyses still cannot exclude the null when estimating the causal effect of fibrinogen on CHD, but that any potential causal effect is likely to be much smaller than observed in epidemiological studies.",2019,6
"Millwood, Iona Y.; Walters, Robin G.; Mei, Xue W.; Guo, Yu; Yang, Ling; Bian, Zheng; Bennett, Derrick A.; Chen, Yiping; Dong, Caixia; Hu, Ruying; Zhou, Gang; Yu, Bo; Jia, Weifang; Parish, Sarah; Clarke, Robert; Smith, George Davey; Collins, Rory; Holmes, Michael V.; Li, Liming; Peto, Richard; Chen, Zhengming","Conventional and genetic evidence on alcohol and vascular disease aetiology: a prospective study of 500 000 men and women in China","LANCET","Background Moderate alcohol intake has been associated with reduced cardiovascular risk in many studies, in comparison with abstinence or with heavier drinking. Studies in east Asia can help determine whether these associations are causal, since two common genetic variants greatly affect alcohol drinking patterns. We used these two variants to assess the relationships between cardiovascular risk and genotype-predicted mean alcohol intake in men, contrasting the findings in men with those in women (few of whom drink). Methods The prospective China Kadoorie Biobank enrolled 512 715 adults between June 25, 2004, and July 15, 2008, from ten areas of China, recording alcohol use and other characteristics. It followed them for about 10 years (until Jan 1, 2017), monitoring cardiovascular disease (including ischaemic stroke, intracerebral haemorrhage, and myocardial infarction) by linkage with morbidity and mortality registries and electronic hospital records. 161 498 participants were genotyped for two variants that alter alcohol metabolism, ALDH2-rs671 and ADH1B-rs1229984. Adjusted Cox regression was used to obtain the relative risks associating disease incidence with self-reported drinking patterns (conventional epidemiology) or with genotype-predicted mean male alcohol intake (genetic epidemiology-ie, Mendelian randomisation), with stratification by study area to control for variation between areas in disease rates and in genotype-predicted intake. Findings 33% (69 897/210 205) of men reported drinking alcohol in most weeks, mainly as spirits, compared with only 2% (6245/302 510) of women. Among men, conventional epidemiology showed that self-reported alcohol intake had U-shaped associations with the incidence of ischaemic stroke (n=14930), intracerebral haemorrhage (n=3496), and acute myocardial infarction (n=2958); men who reported drinking about 100 g of alcohol per week (one to two drinks per day) had lower risks of all three diseases than non-drinkers or heavier drinkers. In contrast, although genotype-predicted mean male alcohol intake varied widely (from 4 to 256 g per week-ie, near zero to about four drinks per day), it did not have any U-shaped associations with risk. For stroke, genotype-predicted mean alcohol intake had a continuously positive log-linear association with risk, which was stronger for intracerebral haemorrhage (relative risk [RR] per 280 g per week 1.58, 95% CI 1.36-1.84, p<0.0001) than for ischaemic stroke (1.27, 1.13-1.43, p=0.0001). For myocardial infarction, however, genotype-predicted mean alcohol intake was not significantly associated with risk (RR per 280 g per week 0.96, 95% CI 0.78-1.18, p=0.69). Usual alcohol intake in current drinkers and genotype-predicted alcohol intake in all men had similarly strong positive associations with systolic blood pressure (each p<0.0001). Among women, few drank and the studied genotypes did not predict high mean alcohol intake and were not positively associated with blood pressure, stroke, or myocardial infarction. Interpretation Genetic epidemiology shows that the apparently protective effects of moderate alcohol intake against stroke are largely non-causal. Alcohol consumption uniformly increases blood pressure and stroke risk, and appears in this one study to have little net effect on the risk of myocardial infarction. Copyright (C) 2019 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license.",2019,6
"Brouwers, Martijn C. G. J.; Simons, Nynke; Stehouwer, Coen D. A.; Koek, Ger H.; Schaper, Nicolaas C.; Isaacs, Aaron","Relationship Between Nonalcoholic Fatty Liver Disease Susceptibility Genes and Coronary Artery Disease","HEPATOLOGY COMMUNICATIONS","Coronary artery disease (CAD) is the principal cause of death in patients with nonalcoholic fatty liver disease (NAFLD). The aim of the present study was to investigate whether NAFLD is causally involved in the pathogenesis of CAD. For this, previously reported NAFLD susceptibility genes were clustered and tested for an association with CAD in the Coronary Artery Disease Genomc-Wide Replication and Meta-Analysis plus the Coronary Artery Disease Genetics (CARDIoGRAMplusC4D) Consortium data set. The role of plasma lipids as a potential mediator was explored by using data from the Global Lipids Genetics Consortium. Statistical analyses revealed that the combination of 12 NAFLD genes was not associated with CAD in 60,801 CAD cases and 123,504 controls (odds ratio [OR] per NAFLD risk allele, 1.0; 95% confidence interval [CI], 0.99-1.00). In a subsequent sensitivity analysis, a positive relationship was observed after exclusion of gene variants that are implicated in NAFLD through impaired very low-density lipoprotein secretion (i.e., microsomal triglyceride transfer protein [MTTP], patatin-like phospholipase domain containing 3 [PNPLA3], phosphatidylethanolamine N-methyltransferase [PEMT], and transmembrane 6 superfamily member 2 [TM6SF2]) (OR, 1.01; 95% CI, 1.00-1.02). Clustering of the excluded genes showed a significant negative relationship with CAD (OR, 0.97; 95% CI, 0.96-0.99). A substantial proportion of the observed heterogeneity between the individual NAFLD genes in relation to CAD could be explained by plasma lipids, as reflected by a strong relationship between plasma lipids and CAD risk conferred by the NAFLD susceptibility genes (r = 0.76; P = 0.004 for low-density lipoprotein cholesterol). Conclusion: NAFLD susceptibility genes do not cause CAD per se. The relationship between these genes and CAD appears to depend to a large extent on plasma lipids. These observations strongly suggest taking plasma lipids into account when designing a new drug to target NAFLD.",2019,6
"Sun, Luanluan; Clarke, Robert; Bennett, Derrick; Guo, Yu; Walters, Robin G.; Hill, Michael; Parish, Sarah; Millwood, Iona Y.; Bian, Zheng; Chen, Yiping; Yu, Canqing; Lv, Jun; Collins, Rory; Chen, Junshi; Peto, Richard; Li, Liming; Chen, Zhengming; Avery, Daniel; Bennett, Derrick; Boxall, Ruth; Bragg, Fiona; Chang, Yumei; Chen, Yiping; Clarke, Robert; Du, Huaidong; Gilbert, Simon; Hacker, Alex; Holmes, Michael; Kartsonaki, Christiana; Kerosi, Rene; Lancaster, Garry; Lin, Kuang; McDonnell, John; Millwood, Iona; Nie, Qunhua; Radhakrishnan, Jayakrishnan; Ryder, Paul; Sansome, Sam; Schmidt, Dan; Sohoni, Rajani; Turnbull, Iain; Wang, Jenny; Wang, Lin; Wright, Neil; Yang, Ling; Yang, Xiaoming; Bian, Zheng; Guo, Yu; Han, Xiao; Hou, Can; Jing, Biao; Liu, Chao; Lv, Jun; Pei, Pei; Tan, Yunlong; Yu, Canqing; Pang, Zengchang; Gao, Ruqin; Li, Shanpeng; Wang, Shaojie; Liu, Yongmei; Du, Ranran; Zang, Yajing; Cheng, Liang; Tian, Xiaocao; Zhang, Hua; Zhai, Yaoming; Ning, Feng; Sun, Xiaohui; Li, Feifei; Lv, Silu; Wang, Junzheng; Hou, Wei; Zeng, Mingyuan; Jiang, Ge; Zhou, Xue; Yang, Liqiu; He, Hui; Yu, Bo; Li, Yanjie; Xu, Qinai; Kang, Quan; Guo, Ziyan; Wang, Dan; Hu, Ximin; Wang, Hongmei; Chen, Jinyan; Fu, Yan; Fu, Zhenwang; Wang, Xiaohuan; Weng, Min; Guo, Zhendong; Wu, Shukuan; Li, Yilei; Li, Huimei; Fu, Zhifang; Wu, Ming; Zhou, Yonglin; Zhou, Jinyi; Tao, Ran; Yang, Jie; Su, Jian; Liu, Fang; Zhang, Jun; Hu, Yihe; Lu, Yan; Ma, Liangcai; Tang, Aiyu; Zhang, Shuo; Jin, Jianrong; Liu, Jingchao; Tang, Zhenzhu; Chen, Naying; Huang, Ying; Li, Mingqiang; Meng, Jinhuai; Pan, Rong; Jiang, Qilian; Lan, Jian; Liu, Yun; Wei, Liuping; Zhou, Liyuan; Chen, Ningyu; Wang, Ping; Meng, Fanwen; Qin, Yulu; Wang, Sisi; Wu, Xianping; Zhang, Ningmei; Chen, Xiaofang; Zhou, Weiwei; Luo, Guojin; Li, Jianguo; Chen, Xiaofang; Zhong, Xunfu; Liu, Jiaqiu; Sun, Qiang; Ge, Pengfei; Ren, Xiaolan; Dong, Caixia; Zhang, Hui; Mao, Enke; Wang, Xiaoping; Wang, Tao; Zhang, Xi; Zhang, Ding; Zhou, Gang; Feng, Shixian; Chang, Liang; Fan, Lei; Gao, Yulian; He, Tianyou; Sun, Huarong; He, Pan; Hu, Chen; Zhang, Xukui; Wu, Huifang; Yu, Min; Hu, Ruying; Wang, Hao; Qian, Yijian; Wang, Chunmei; Xie, Kaixu; Chen, Lingli; Zhang, Yidan; Pan, Dongxia; Gu, Qijun; Huang, Yuelong; Chen, Biyun; Yin, Li; Liu, Huilin; Fu, Zhongxi; Xu, Qiaohua; Xu, Xin; Zhang, Hao; Long, Huajun; Li, Xianzhi; Zhang, Libo; Qiu, Zhe","Causal associations of blood lipids with risk of ischemic stroke and intracerebral hemorrhage in Chinese adults","NATURE MEDICINE","Stroke is the second leading cause of death worldwide and accounts for >2 million deaths annually in China(1,2). Ischemic stroke (IS) and intracerebral hemorrhage (ICH) account for an equal number of deaths in China, despite a fourfold greater incidence of IS1,2. Stroke incidence and ICH proportion are higher in China than in Western populations(3-5), despite having a lower mean low-density lipoprotein cholesterol (LDL-C) concentration. Observational studies reported weaker positive associations of LDL-C with IS than with coronary heart disease (CHD)(6,7), but LDL-C-lowering trials demonstrated similar risk reductions for IS and CHD8-10. Mendelian randomization studies of LDL-C and IS have reported conflicting results(11-13), and concerns about the excess risks of ICH associated with lowering LDL-C-14,C-15 may have prevented the more widespread use of statins in China. We examined the associations of biochemically measured lipids with stroke in a nested case-control study in the China Kadoorie Biobank (CKB) and compared the risks for both stroke types associated with equivalent differences in LDL-C in Mendelian randomization analyses. The results demonstrated positive associations of LDL-C with IS and equally strong inverse associations with ICH, which were confirmed by genetic analyses and LDL-C-lowering trials. Lowering LDL-C is still likely to have net benefit for the prevention of overall stroke and cardiovascular disease in China.",2019,6
